_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos
51.8582083;-43.9467778;03 27 25.97;1.5;-43 56 48.40;1.7;1584.0;47.6;1738.0;52.2;64.8;53.9;55.0;0.0;0.0;     ;J0320M44;1;267.2;498.7
52.93575;-65.3003056;03 31 44.58;1.5;-65 18 01.10;1.7;1414.0;42.5;1938.0;83.4;60.2;51.6;34.5;36.5;20.5; 49.3;J0330M64;1;645.4;251.4
54.2689583;-41.3886667;03 37 04.55;1.5;-41 23 19.20;1.7;1798.0;54.0;1913.0;57.4;70.2;50.8;163.1;0.0;0.0;     ;J0340M40;1;884.5;161.4
54.7002083;-35.3720278;03 38 48.05;1.5;-35 22 19.30;1.7;1989.0;59.7;2074.0;62.3;76.6;63.0;30.4;0.0;0.0;     ;J0336M36;1;518.1;535.4
54.950708299999995;-40.3067222;03 39 48.17;1.5;-40 18 24.20;1.7;1718.0;51.6;1765.0;53.0;70.0;50.3;120.9;0.0;0.0;     ;J0340M40;1;717.3;389.5
55.522208299999996;-37.055944399999994;03 42 05.33;1.5;-37 03 21.40;1.7;3044.0;91.4;3126.0;93.8;76.6;49.7;62.0;0.0;0.0;     ;J0336M36;1;307.5;210.1
56.474166700000005;-53.0118333;03 45 53.80;1.5;-53 00 42.60;1.7;1167.0;35.0;1167.0;35.0;57.1;45.0;88.1;0.0;0.0;     ;J0336M52;1;218.0;288.5
58.8766667;-48.3858889;03 55 30.40;1.5;-48 23 09.20;1.7;1330.0;39.9;1929.0;67.0;83.0;49.2;23.4;59.9;0.0; 33.2;J0400M48;1;949.1;428.8
58.94825;-66.7591111;03 55 47.58;1.5;-66 45 32.80;1.7;1357.0;40.7;1448.0;43.5;48.7;48.0;60.5;0.0;0.0;     ;J0336M68;2;66.8;1006.8
59.945041700000004;-37.007194399999996;03 59 46.81;1.5;-37 00 25.90;1.7;1616.0;48.5;2191.0;82.2;85.2;62.8;148.8;59.4;0.0;116.0;J0354M36;1;327.4;219.6
60.79875;-50.5045833;04 03 11.70;1.5;-50 30 16.50;1.7;1282.0;38.5;1306.0;39.2;57.1;45.8;89.3;0.0;0.0;     ;J0400M52;1;538.7;940.9
62.082;-65.7643333;04 08 19.68;1.5;-65 45 51.60;1.7;1294.0;39.0;1294.0;39.0;50.1;45.0;88.1;0.0;0.0;     ;J0400M64;1;425.4;111.0
62.0845;-65.7523611;04 08 20.28;1.5;-65 45 08.50;1.7;24440.0;733.2;24444.0;733.3;50.1;45.0;178.1;0.0;0.0;     ;J0400M64;1;424.9;114.5
62.2019583;-75.12222220000001;04 08 48.47;1.5;-75 07 20.00;1.7;20830.0;624.9;21112.0;633.4;47.0;45.0;174.7;0.0;0.0;     ;J0345M76;2;205.8;938.3
62.593875;-52.547972200000004;04 10 22.53;1.5;-52 32 52.70;1.7;1792.0;53.8;1792.0;53.8;57.1;45.0;88.0;0.0;0.0;     ;J0400M52;2;189.0;407.4
62.8417917;-35.2169167;04 11 22.03;1.5;-35 13 00.90;1.7;1171.0;35.2;1396.0;42.0;76.6;58.6;120.0;0.0;0.0;     ;J0412M36;1;747.3;565.6
62.9962083;-64.6071389;04 11 59.09;1.5;-64 36 25.70;1.7;1499.0;45.0;1879.0;70.1;60.5;47.0;149.6;36.2;0.0;140.1;J0430M64;2;1336.4;435.4
63.200083299999996;-56.0135556;04 12 48.02;1.5;-56 00 48.80;1.7;3341.0;100.2;3853.0;147.2;61.7;45.7;174.4;29.7;0.0;168.2;J0400M56;2;119.9;570.1
63.2534583;-34.5032222;04 13 00.83;1.5;-34 30 11.60;1.7;2285.0;68.6;2301.0;69.1;76.6;47.8;66.5;0.0;0.0;     ;J0412M36;1;636.6;702.8
63.788625;-42.3968611;04 15 09.27;1.5;-42 23 48.70;1.7;1200.0;36.0;1305.0;39.2;64.8;55.7;35.3;0.0;0.0;     ;J0420M44;1;997.8;852.9
64.9447917;-39.8349722;04 19 46.75;1.5;-39 50 05.90;1.7;1699.0;51.0;1721.0;51.7;70.0;57.3;142.3;0.0;0.0;     ;J0420M40;1;718.9;488.7
65.155125;-41.4357222;04 20 37.23;1.5;-41 26 08.60;1.7;1188.0;35.7;1188.0;35.7;70.0;47.5;114.7;0.0;0.0;     ;J0420M40;1;666.9;152.0
65.1776667;-57.93975;04 20 42.64;1.5;-57 56 23.10;1.7;1261.0;37.9;1261.0;37.9;54.3;45.2;7.8;0.0;0.0;     ;J0424M56;2;847.9;58.1
65.234125;-62.393777799999995;04 20 56.19;1.5;-62 23 37.60;1.7;5617.0;168.5;5619.0;168.6;50.1;45.2;81.5;0.0;0.0;     ;J0430M64;1;1048.5;1100.9
65.7262083;-33.252416700000005;04 22 54.29;1.5;-33 15 08.70;1.7;1347.0;40.5;1347.0;40.5;84.9;45.0;1.0;0.0;0.0;     ;J0430M32;1;1190.4;154.7
65.945625;-34.0445278;04 23 46.95;1.5;-34 02 40.30;1.7;1720.0;51.7;1996.0;60.0;76.6;62.0;29.9;0.0;0.0;     ;J0430M36;2;1126.5;789.1
