_RAJ2000;_DEJ2000;NVSS;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;S1.4;e_S1.4;l_MajAxis;MajAxis;l_MinAxis;MinAxis;f_resFlux
252.7705833;4.9950833;165104+045942;16 51 04.94;+04 59 42.3;0.03;0.6;8480.9;282.1;;55.2;;34.5;S*
252.79875;4.9886111;165111+045919;16 51 11.70;+04 59 19.0;0.03;0.6;23546.8;775.1;;37.1;<;18.2;
252.80345830000002;4.9881389;165112+045917;16 51 12.83;+04 59 17.3;0.03;0.6;3428.6;111.6;;41.3;<;13.9;S*
254.8992083;-40.1748889;165935-401029;16 59 35.81;-40 10 29.6;0.04;0.6;3598.6;109.6;;115.2;;79.2;S*
254.923875;-40.18925;165941-401121;16 59 41.73;-40 11 21.3;0.04;0.6;8627.1;263.7;;124.9;;64.6;S*
257.32795830000003;-35.4227222;170918-352521;17 09 18.71;-35 25 21.8;0.04;0.6;2116.6;63.5;<;18.8;<;16.3;
258.23875;-28.159944399999997;171257-280935;17 12 57.30;-28 09 35.8;0.03;0.6;5181.0;182.3;;15.6;<;16.6;
258.2997083;-25.024;171311-250126;17 13 11.93;-25 01 26.4;0.03;0.6;3361.9;105.6;;89.9;;45.8;S*
258.329875;-25.056388899999998;171319-250323;17 13 19.17;-25 03 23.0;0.03;0.6;3855.2;121.2;;88.1;;46.6;S*
258.5542083;-38.187027799999996;171413-381113;17 14 13.01;-38 11 13.3;0.04;0.6;4137.1;135.3;;85.7;;22.4;P*
258.69925;-25.2432778;171447-251435;17 14 47.82;-25 14 35.8;0.03;0.6;2690.6;80.7;<;19.8;<;18.1;
258.7037083;-38.513388899999995;171448-383048;17 14 48.89;-38 30 48.2;0.04;0.6;2180.1;67.9;;117.7;;43.5;P*
259.2600833;-36.3516389;171702-362105;17 17 02.42;-36 21 05.9;0.04;0.6;2399.9;93.2;;18.1;;16.3;S*
259.4109167;-39.81425;171738-394851;17 17 38.62;-39 48 51.3;0.04;0.6;2170.8;76.6;;14.3;<;17.3;P*
